BatchNumber,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41
1,1.999867,44.24935,28.16472,,1.999038,1.299081,27.06148,28.5,36,39.4,22.7,921.0968,2076.573,2170.146,1017.489,22.36291,27.16667,27.33852,24.35389,21.35513,140.6457,133.5561,0,40.60253,24.94843,32.01989,0.007304348,27.01972,0,54.99267,0,60,40,13,0,-9.6,0,0,28291.57,26892.26,18333.06641
2,4.996352,41.68612,41.79799,,4.998839,5.051471,27.01976,28.5,36,39.6,22.7,921.2494,2081.41,2170.84,1017.489,24.68081,29.16544,29.65642,29.15765,21.35513,140.4473,133.4049,4.998026,63.68074,25.13597,32.08001,5.075305,27.029,7.516817,54.95351,4.998026,60,40,13,4.933381,11,5.000257,5.001157,28283.33,26892.26,18333.06641
3,5.003814,18.00908,39.33204,,4.999668,5.050548,27.02198,28.4,36.1,39.6,22.7,920.9443,2075,2189.692,1029.363,24.17691,28.99747,29.3205,29.32562,21.69105,140.5465,132.901,4.999502,62.505,25.22803,31.69417,5.085043,26.96234,7.507241,54.94177,4.999502,60,40,13,4.924155,11,4.957973,4.999358,6033.625,5626.764,18333.06641
4,4.999668,20.21887,27.1725,,4.998839,5.049625,27.01561,28.3,36,39.6,22.7,920.7916,2111.114,2180.287,1017.489,24.84877,28.82951,29.82439,29.15765,21.52309,140.4473,132.3972,5.000978,62.35383,25.05068,31.80134,5.083826,26.13723,7.507241,54.94177,5.000978,60,40,13,4.954602,11,4.965171,4.964271,6041.861,5610.292,5059.013672
5,5.000497,21.14786,28.53437,,4.998839,5.050548,27.02745,28.1,35.9,39.5,22.7,920.4863,2092.606,2142.387,1017.489,23.52186,28.00649,29.48846,29.49358,21.52309,140.4473,132.078,5.000978,62.18587,24.85381,32.04451,5.082609,27.07351,7.50405,54.94177,5.000978,60,40,13,4.930613,11,4.961572,4.961572,6033.625,5626.764,5010.420898
6,4.999668,20.87549,28.13392,,4.999668,5.050548,27.03436,27.8,35.8,39.4,22.7,920.0281,2079.273,2221.127,1029.363,23.18593,27.16667,33.97309,37.62302,21.35513,140.1595,131.7421,5.00024,62.35383,24.64938,31.5839,5.092348,27.04041,7.488091,54.95482,5.00024,60,40,13,4.973055,11,4.96787,4.96787,6033.625,5618.528,5002.185547
7,4.998839,20.26751,29.01427,,4.999668,5.050548,27.03246,27.6,35.7,39.3,22.6,902.3677,2088.579,2174.525,1017.318,23.68982,26.83074,32.31025,36.29611,30.15642,140.3481,131.7421,4.998026,61.51401,25.44436,32.19027,5.106956,26.51091,7.491282,54.97962,4.998026,60,40,13,4.958292,10.8,4.975067,4.963372,6033.625,5610.292,4993.949219
8,5.000497,19.62711,28.16472,,4.999668,5.050548,27.01307,27.4,35.7,39.3,22.6,927.118,2085.224,2169.799,1017.318,23.52186,26.83074,31.97432,35.97698,30.66031,140.3481,131.5741,5.00024,61.51401,25.00787,31.75983,5.077739,27.31799,7.510433,54.94177,5.00024,60,40,13,4.945375,11,4.962472,4.964271,6041.861,5610.292,4985.712891
9,5.000497,20.01135,28.79053,,4.999668,5.049625,27.01415,27.6,35.8,39.4,22.7,919.7226,2080.737,2170.146,1029.363,23.18593,26.83074,31.97432,35.47309,31.31537,140.4473,131.2382,4.999502,61.01012,24.68603,32.05867,5.076522,27.13616,7.481707,54.94177,4.999502,60,40,13,4.93984,11,4.962472,4.952576,6033.625,5610.292,4961.828125
10,4.998839,20.21887,28.79053,,4.999668,5.050548,26.99754,27.8,36,39.6,22.7,893.8608,2074.665,2142.729,1029.363,23.01797,26.66278,31.65519,35.47309,31.48333,140.6457,130.4152,5.00024,61.01012,24.9347,31.72151,5.094783,26.62157,7.523201,54.92872,5.00024,60,40,13,4.893707,11,4.951676,4.957074,6041.861,5610.292,4953.592773
