Quality,BatchNumber
1,1
1,2
1,3
1,4
0,5
1,6
0,7
1,8
1,9
1,10
1,11
0,12
1,13
1,14
1,15
1,16
1,17
0,18
1,19
1,20
1,21
1,22
0,23
0,24
0,25
1,26
0,27
0,28
0,29
0,30
1,31
0,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
0,46
1,47
0,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
0,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
0,76
1,77
1,78
1,79
0,80
1,81
1,82
1,83
1,84
1,85
1,86
1,87
0,88
0,89
1,90
0,91
1,92
1,93
1,94
1,95
1,96
1,97
0,98
1,99
1,100
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,108
1,109
1,110
0,111
1,112
1,113
1,114
1,115
1,116
0,117
1,118
1,119
1,120
1,121
1,122
0,123
1,124
1,125
0,126
1,127
0,128
1,129
1,130
1,131
0,132
1,133
1,134
1,135
0,136
1,137
0,138
1,139
1,140
1,141
1,142
0,143
1,144
1,145
1,146
1,147
1,148
1,149
1,150
1,151
1,152
1,153
1,154
0,155
1,156
1,157
1,158
1,159
1,160
1,161
0,162
1,163
0,164
1,165
1,166
1,167
1,168
1,169
1,170
0,171
1,172
0,173
0,174
1,175
1,176
0,177
1,178
1,179
1,180
1,181
1,182
1,183
1,184
1,185
1,186
1,187
1,188
1,189
0,190
1,191
1,192
1,193
1,194
1,195
1,196
1,197
0,198
1,199
1,200
1,201
1,202
1,203
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,220
1,221
0,222
1,223
1,224
1,225
1,226
1,227
1,228
1,229
1,230
1,231
0,232
1,233
1,234
1,235
1,236
1,237
1,238
1,239
1,240
1,241
0,242
0,243
0,244
1,245
1,246
1,247
0,248
1,249
1,250
0,251
1,252
1,253
1,254
0,255
1,256
1,257
1,258
1,259
1,260
1,261
1,262
0,263
1,264
1,265
0,266
0,267
0,268
1,269
1,270
1,271
1,272
0,273
1,274
1,275
1,276
1,277
1,278
1,279
0,280
1,281
0,282
1,283
1,284
0,285
1,286
0,287
0,288
0,289
0,290
0,291
1,292
1,293
1,294
1,295
1,296
0,297
1,298
1,299
1,300
1,301
1,302
1,303
1,304
1,305
1,306
0,307
1,308
1,309
1,310
1,311
1,312
1,313
1,314
1,315
0,316
0,317
1,318
0,319
1,320
0,321
1,322
1,323
1,324
1,325
1,326
1,327
1,328
1,329
0,330
1,331
1,332
1,333
1,334
1,335
1,336
0,337
0,338
1,339
1,340
1,341
0,342
1,343
1,344
1,345
0,346
1,347
0,348
0,349
0,350
1,351
1,352
0,353
1,354
1,355
0,356
1,357
0,358
0,359
1,360
0,361
0,362
1,363
1,364
0,365
1,366
0,367
1,368
1,369
1,370
1,371
1,372
1,373
1,374
1,375
1,376
0,377
1,378
1,379
1,380
1,381
1,382
1,383
1,384
1,385
1,386
0,387
1,388
0,389
1,390
0,391
0,392
0,393
0,394
0,395
0,396
0,397
0,398
0,399
0,400
0,401
0,402
0,403
0,404
0,405
0,406
0,407
0,408
0,409
0,410
0,411
1,412
0,413
1,414
0,415
1,416
0,417
1,418
0,419
1,420
0,421
1,422
0,423
0,424
0,425
1,426
1,427
0,428
1,429
1,430
1,431
1,432
0,433
0,434
1,435
1,436
1,437
1,438
0,439
1,440
1,441
1,442
1,443
1,444
0,445
1,446
1,447
1,448
1,449
1,450
1,451
1,452
1,453
1,454
0,455
1,456
1,457
0,458
0,459
1,460
0,461
1,462
1,463
1,464
0,465
1,466
1,467
1,468
1,469
1,470
1,471
1,472
0,473
0,474
1,475
1,476
1,477
1,478
1,479
1,480
0,481
1,482
1,483
1,484
1,485
1,486
1,487
0,488
1,489
1,490
1,491
1,492
1,493
1,494
0,495
0,496
1,497
1,498
1,499
1,500
1,501
1,502
1,503
1,504
1,505
1,506
1,507
1,508
1,509
1,510
1,511
1,512
0,513
1,514
1,515
1,516
1,517
1,518
1,519
1,520
0,521
1,522
1,523
0,524
1,525
1,526
1,527
1,528
1,529
1,530
1,531
0,532
1,533
0,534
1,535
1,536
1,537
1,538
0,539
0,540
1,541
1,542
1,543
0,544
1,545
1,546
1,547
0,548
1,549
0,550
1,551
1,552
1,553
1,554
1,555
1,556
1,557
1,558
1,559
1,560
1,561
1,562
1,563
1,564
1,565
1,566
1,567
1,568
1,569
1,570
1,571
1,572
1,573
1,574
0,575
1,576
1,577
1,578
1,579
0,580
0,581
0,582
0,583
0,584
0,585
0,586
0,587
0,588
0,589
0,590
0,591
0,592
0,593
0,594
0,595
0,596
0,597
0,598
0,599
0,600
0,601
0,602
0,603
0,604
0,605
0,606
0,607
0,608
0,609
0,610
0,611
0,612
0,613
0,614
0,615
0,616
0,617
0,618
0,619
0,620
0,621
0,622
0,623
0,624
1,625
1,626
0,627
0,628
1,629
1,630
0,631
1,632
1,633
1,634
1,635
1,636
1,637
0,638
1,639
1,640
0,641
1,642
1,643
0,644
1,645
1,646
1,647
1,648
0,649
1,650
1,651
1,652
1,653
1,654
0,655
0,656
1,657
1,658
1,659
1,660
1,661
1,662
1,663
1,664
1,665
1,666
0,667
0,668
0,669
1,670
1,671
0,672
1,673
1,674
1,675
1,676
1,677
1,678
1,679
1,680
1,681
1,682
1,683
1,684
1,685
1,686
0,687
0,688
1,689
1,690
1,691
0,692
1,693
0,694
1,695
1,696
1,697
1,698
1,699
1,700
1,701
1,702
1,703
0,704
1,705
1,706
1,707
1,708
1,709
1,710
1,711
0,712
1,713
1,714
1,715
1,716
1,717
1,718
0,719
1,720
1,721
0,722
0,723
1,724
1,725
1,726
1,727
1,728
1,729
1,730
1,731
1,732
1,733
1,734
1,735
1,736
1,737
1,738
1,739
1,740
0,741
1,742
1,743
1,744
1,745
1,746
1,747
0,748
0,749
1,750
1,751
1,752
1,753
1,754
1,755
1,756
1,757
1,758
1,759
1,760
1,761
1,762
1,763
1,764
1,765
1,766
1,767
1,768
1,769
1,770
1,771
1,772
1,773
1,774
1,775
1,776
1,777
1,778
1,779
1,780
1,781
1,782
1,783
1,784
1,785
1,786
0,787
1,788
1,789
1,790
1,791
1,792
1,793
1,794
1,795
1,796
1,797
1,798
1,799
0,800
1,801
1,802
1,803
1,804
1,805
1,806
1,807
1,808
1,809
1,810
1,811
0,812
1,813
1,814
1,815
1,816
1,817
0,818
1,819
1,820
1,821
1,822
1,823
1,824
1,825
1,826
1,827
1,828
1,829
1,830
0,831
1,832
1,833
1,834
0,835
1,836
1,837
1,838
1,839
1,840
0,841
1,842
1,843
1,844
1,845
1,846
1,847
1,848
1,849
1,850
0,851
1,852
1,853
1,854
1,855
1,856
0,857
1,858
0,859
1,860
1,861
1,862
1,863
1,864
1,865
1,866
1,867
1,868
1,869
1,870
1,871
1,872
1,873
1,874
1,875
1,876
1,877
1,878
1,879
1,880
1,881
1,882
1,883
1,884
1,885
1,886
1,887
1,888
1,889
1,890
1,891
1,892
1,893
0,894
1,895
1,896
1,897
1,898
1,899
0,900
1,901
1,902
1,903
1,904
1,905
1,906
0,907
1,908
1,909
1,910
1,911
1,912
1,913
1,914
1,915
1,916
1,917
1,918
1,919
1,920
0,921
1,922
1,923
1,924
1,925
1,926
1,927
1,928
1,929
0,930
0,931
1,932
0,933
1,934
1,935
1,936
1,937
1,938
1,939
1,940
1,941
1,942
0,943
1,944
1,945
0,946
1,947
1,948
1,949
1,950
1,951
1,952
1,953
1,954
1,955
1,956
1,957
0,958
1,959
1,960
1,961
1,962
1,963
1,964
1,965
1,966
1,967
1,968
1,969
1,970
1,971
1,972
1,973
1,974
0,975
1,976
1,977
1,978
1,979
1,980
0,981
1,982
1,983
1,984
1,985
1,986
0,987
1,988
1,989
1,990
1,991
1,992
1,993
0,994
0,995
1,996
1,997
0,998
1,999
1,1000
1,1001
0,1002
1,1003
0,1004
0,1005
1,1006
0,1007
1,1008
1,1009
1,1010
1,1011
0,1012
1,1013
1,1014
1,1015
1,1016
1,1017
0,1018
1,1019
1,1020
1,1021
1,1022
1,1023
0,1024
1,1025
1,1026
0,1027
1,1028
1,1029
1,1030
1,1031
1,1032
1,1033
1,1034
1,1035
1,1036
1,1037
1,1038
1,1039
1,1040
0,1041
1,1042
1,1043
1,1044
0,1045
1,1046
1,1047
1,1048
1,1049
1,1050
1,1051
0,1052
1,1053
1,1054
1,1055
0,1056
1,1057
1,1058
1,1059
0,1060
0,1061
1,1062
1,1063
1,1064
1,1065
1,1066
1,1067
1,1068
0,1069
1,1070
1,1071
1,1072
1,1073
1,1074
1,1075
0,1076
1,1077
1,1078
1,1079
1,1080
1,1081
1,1082
1,1083
1,1084
1,1085
1,1086
1,1087
1,1088
1,1089
1,1090
1,1091
1,1092
1,1093
1,1094
1,1095
1,1096
1,1097
1,1098
1,1099
0,1100
1,1101
1,1102
1,1103
1,1104
0,1105
0,1106
0,1107
0,1108
0,1109
0,1110
0,1111
0,1112
0,1113
0,1114
0,1115
0,1116
0,1117
0,1118
0,1119
0,1120
0,1121
0,1122
1,1123
1,1124
1,1125
0,1126
0,1127
0,1128
0,1129
0,1130
0,1131
0,1132
1,1133
0,1134
0,1135
1,1136
1,1137
1,1138
1,1139
1,1140
0,1141
0,1142
0,1143
0,1144
1,1145
0,1146
0,1147
1,1148
1,1149
1,1150
1,1151
1,1152
1,1153
1,1154
1,1155
1,1156
1,1157
1,1158
1,1159
1,1160
0,1161
1,1162
1,1163
1,1164
1,1165
0,1166
1,1167
1,1168
1,1169
0,1170
1,1171
1,1172
1,1173
1,1174
1,1175
0,1176
0,1177
1,1178
1,1179
1,1180
1,1181
1,1182
1,1183
1,1184
0,1185
1,1186
1,1187
1,1188
1,1189
1,1190
0,1191
1,1192
1,1193
1,1194
1,1195
0,1196
1,1197
1,1198
0,1199
1,1200
0,1201
0,1202
1,1203
0,1204
1,1205
1,1206
0,1207
1,1208
1,1209
1,1210
0,1211
0,1212
1,1213
1,1214
1,1215
1,1216
1,1217
1,1218
1,1219
1,1220
1,1221
1,1222
1,1223
1,1224
1,1225
1,1226
1,1227
1,1228
1,1229
1,1230
1,1231
1,1232
1,1233
1,1234
0,1235
1,1236
1,1237
0,1238
1,1239
0,1240
1,1241
1,1242
1,1243
1,1244
1,1245
1,1246
1,1247
0,1248
0,1249
0,1250
1,1251
1,1252
1,1253
0,1254
1,1255
1,1256
1,1257
1,1258
1,1259
1,1260
1,1261
1,1262
1,1263
1,1264
1,1265
1,1266
1,1267
1,1268
1,1269
1,1270
1,1271
1,1272
1,1273
1,1274
1,1275
1,1276
1,1277
1,1278
1,1279
1,1280
1,1281
1,1282
1,1283
1,1284
1,1285
1,1286
1,1287
0,1288
1,1289
1,1290
1,1291
1,1292
1,1293
1,1294
0,1295
1,1296
1,1297
0,1298
0,1299
0,1300
1,1301
1,1302
1,1303
1,1304
1,1305
1,1306
1,1307
0,1308
1,1309
1,1310
1,1311
1,1312
1,1313
1,1314
1,1315
1,1316
1,1317
1,1318
1,1319
1,1320
1,1321
1,1322
1,1323
0,1324
0,1325
0,1326
0,1327
1,1328
1,1329
1,1330
1,1331
0,1332
1,1333
1,1334
1,1335
0,1336
1,1337
1,1338
1,1339
1,1340
1,1341
1,1342
1,1343
1,1344
1,1345
1,1346
0,1347
1,1348
1,1349
0,1350
1,1351
1,1352
1,1353
1,1354
1,1355
1,1356
1,1357
1,1358
0,1359
1,1360
1,1361
1,1362
1,1363
1,1364
1,1365
1,1366
1,1367
1,1368
1,1369
1,1370
1,1371
1,1372
1,1373
1,1374
0,1375
1,1376
1,1377
0,1378
1,1379
1,1380
1,1381
0,1382
1,1383
0,1384
1,1385
1,1386
0,1387
1,1388
1,1389
0,1390
1,1391
1,1392
1,1393
1,1394
0,1395
1,1396
0,1397
1,1398
1,1399
1,1400
1,1401
0,1402
1,1403
1,1404
1,1405
1,1406
1,1407
0,1408
1,1409
1,1410
1,1411
1,1412
0,1413
1,1414
1,1415
0,1416
1,1417
1,1418
0,1419
1,1420
1,1421
1,1422
1,1423
1,1424
1,1425
1,1426
1,1427
1,1428
1,1429
0,1430
1,1431
1,1432
1,1433
1,1434
1,1435
1,1436
1,1437
1,1438
1,1439
1,1440
1,1441
1,1442
1,1443
1,1444
0,1445
1,1446
1,1447
1,1448
1,1449
1,1450
1,1451
1,1452
1,1453
1,1454
0,1455
1,1456
1,1457
1,1458
1,1459
0,1460
1,1461
1,1462
1,1463
0,1464
1,1465
1,1466
1,1467
1,1468
1,1469
1,1470
1,1471
1,1472
1,1473
0,1474
1,1475
1,1476
1,1477
1,1478
0,1479
0,1480
1,1481
1,1482
1,1483
1,1484
1,1485
1,1486
1,1487
1,1488
0,1489
0,1490
1,1491
0,1492
1,1493
1,1494
0,1495
0,1496
0,1497
0,1498
0,1499
1,1500
1,1501
1,1502
0,1503
1,1504
1,1505
1,1506
1,1507
